Library	SampleID	Species	tissue	light	nutrient	genotype	treatment_1	treatment_2	time	rep	project	exp	included
SRX1067512	plusP06mock_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	6	1	Colletotrichum	1	TRUE
SRX1067513	plusP06mock_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	6	2	Colletotrichum	1	TRUE
SRX1067514	plusP06mock_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	6	3	Colletotrichum	1	TRUE
SRX1067515	plusP10mock_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	10	1	Colletotrichum	1	TRUE
SRX1067516	plusP10mock_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	10	2	Colletotrichum	1	TRUE
SRX1067517	plusP10mock_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	10	3	Colletotrichum	1	TRUE
SRX1067518	plusP16mock_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	16	1	Colletotrichum	1	TRUE
SRX1067519	plusP16mock_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	16	2	Colletotrichum	1	TRUE
SRX1067520	plusP16mock_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	16	3	Colletotrichum	1	TRUE
SRX1067521	plusP24mock_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	24	1	Colletotrichum	1	TRUE
SRX1067522	plusP24mock_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	24	2	Colletotrichum	1	TRUE
SRX1067523	plusP24mock_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	24	3	Colletotrichum	1	TRUE
SRX1067524	plusP06Ct_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	6	1	Colletotrichum	1	TRUE
SRX1067525	plusP06Ct_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	6	2	Colletotrichum	1	TRUE
SRX1067526	plusP06Ct_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	6	3	Colletotrichum	1	TRUE
SRX1067527	plusP10Ct_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	10	1	Colletotrichum	1	TRUE
SRX1067528	plusP10Ct_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	10	2	Colletotrichum	1	TRUE
SRX1067529	plusP10Ct_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	10	3	Colletotrichum	1	TRUE
SRX1067530	plusP16Ct_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	16	1	Colletotrichum	1	TRUE
SRX1067531	plusP16Ct_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	16	2	Colletotrichum	1	TRUE
SRX1067532	plusP16Ct_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	16	3	Colletotrichum	1	TRUE
SRX1067533	plusP24Ct_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	24	1	Colletotrichum	1	TRUE
SRX1067534	plusP24Ct_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	24	2	Colletotrichum	1	TRUE
SRX1067535	plusP24Ct_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Ct	mock	24	3	Colletotrichum	1	TRUE
SRX1067536	minusP06mock_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	6	1	Colletotrichum	1	TRUE
SRX1067537	minusP06mock_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	6	2	Colletotrichum	1	TRUE
SRX1067538	minusP06mock_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	6	3	Colletotrichum	1	TRUE
SRX1067539	minusP10mock_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	10	1	Colletotrichum	1	TRUE
SRX1067540	minusP10mock_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	10	2	Colletotrichum	1	TRUE
SRX1067541	minusP10mock_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	10	3	Colletotrichum	1	TRUE
SRX1067542	minusP16mock_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	16	1	Colletotrichum	1	TRUE
SRX1067543	minusP16mock_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	16	2	Colletotrichum	1	TRUE
SRX1067544	minusP16mock_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	16	3	Colletotrichum	1	TRUE
SRX1067545	minusP24mock_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	24	1	Colletotrichum	1	TRUE
SRX1067546	minusP24mock_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	24	2	Colletotrichum	1	TRUE
SRX1067547	minusP24mock_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	24	3	Colletotrichum	1	TRUE
SRX1067548	minusP06Ct_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	6	1	Colletotrichum	1	TRUE
SRX1067549	minusP06Ct_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	6	2	Colletotrichum	1	TRUE
SRX1067550	minusP06Ct_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	6	3	Colletotrichum	1	TRUE
SRX1067551	minusP10Ct_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	10	1	Colletotrichum	1	TRUE
SRX1067552	minusP10Ct_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	10	2	Colletotrichum	1	TRUE
SRX1067553	minusP10Ct_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	10	3	Colletotrichum	1	TRUE
SRX1067554	minusP16Ct_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	16	1	Colletotrichum	1	TRUE
SRX1067555	minusP16Ct_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	16	2	Colletotrichum	1	TRUE
SRX1067556	minusP16Ct_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	16	3	Colletotrichum	1	TRUE
SRX1067557	minusP24Ct_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	24	1	Colletotrichum	1	TRUE
SRX1067558	minusP24Ct_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	24	2	Colletotrichum	1	TRUE
SRX1067559	minusP24Ct_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ct	mock	24	3	Colletotrichum	1	TRUE
SRX1067560	Ct_invitro_2	Colletotrichum tofieldiae	Root	Normal	in_vitro	Col-0	Ct	mock	in_vitro	1	Colletotrichum	1	FALSE
SRX1067561	Ct_invitro_3	Colletotrichum tofieldiae	Root	Normal	in_vitro	Col-0	Ct	mock	in_vitro	2	Colletotrichum	1	FALSE
SRX1067562	Ct_invitro_1	Colletotrichum tofieldiae	Root	Normal	in_vitro	Col-0	Ct	mock	in_vitro	3	Colletotrichum	1	FALSE
SRX1067563	minusP10Ci_Exp1_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ci	mock	10	1	Colletotrichum	1	TRUE
SRX1067564	minusP10Ci_Exp1_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ci	mock	10	2	Colletotrichum	1	TRUE
SRX1067565	minusP10Ci_Exp1_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ci	mock	10	3	Colletotrichum	1	TRUE
SRX1067566	minusP10Ci_Exp2_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ci	mock	10	4	Colletotrichum	2	TRUE
SRX1067567	minusP10Ci_Exp2_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ci	mock	10	5	Colletotrichum	2	TRUE
SRX1067568	minusP10Ci_Exp2_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ci	mock	10	6	Colletotrichum	2	TRUE
SRX1067569	minusP24Ci_Exp2_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ci	mock	24	4	Colletotrichum	2	TRUE
SRX1067570	minusP24Ci_Exp2_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ci	mock	24	5	Colletotrichum	2	TRUE
SRX1067571	minusP24Ci_Exp2_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	Ci	mock	24	6	Colletotrichum	2	TRUE
SRX1067572	Ci_invitro_1	Colletotrichum incanum	Root	Normal	in_vitro	Col-0	Ci	mock	in_vitro	1	Colletotrichum	1	FALSE
SRX1067573	Ci_invitro_2	Colletotrichum incanum	Root	Normal	in_vitro	Col-0	Ci	mock	in_vitro	2	Colletotrichum	1	FALSE
SRX1067574	Ci_invitro_3	Colletotrichum incanum	Root	Normal	in_vitro	Col-0	Ci	mock	in_vitro	3	Colletotrichum	1	FALSE
C.Bg1_S7	C-Bg1_S7	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Bglumae	mock	14	1	Kopriva	1	TRUE
C.Bg2_S8	C-Bg2_S8	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Bglumae	mock	14	2	Kopriva	1	TRUE
C.Bg3_S9	C-Bg3_S9	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Bglumae	mock	14	3	Kopriva	1	TRUE
C.Bp1_S4	C-Bp1_S4	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Bphyt	mock	14	1	Kopriva	1	TRUE
C.Bp2_S5	C-Bp2_S5	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Bphyt	mock	14	2	Kopriva	1	TRUE
C.Bp3_S6	C-Bp3_S6	Arabidopsis thaliana	Root	Normal	Normal	Col-0	Bphyt	mock	14	3	Kopriva	1	TRUE
C.c1_S1	C-c1_S1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	14	1	Kopriva	1	TRUE
C.c2_S2	C-c2_S2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	14	2	Kopriva	1	TRUE
C.c3_S3	C-c3_S3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	14	3	Kopriva	1	TRUE
S.Bg1_S16	S-Bg1_S16	Arabidopsis thaliana	Root	Normal	low_S	Col-0	Bglumae	mock	14	1	Kopriva	1	TRUE
S.Bg2_S17	S-Bg2_S17	Arabidopsis thaliana	Root	Normal	low_S	Col-0	Bglumae	mock	14	2	Kopriva	1	TRUE
S.Bg3_S18	S-Bg3_S18	Arabidopsis thaliana	Root	Normal	low_S	Col-0	Bglumae	mock	14	3	Kopriva	1	TRUE
S.Bp1_S13	S-Bp1_S13	Arabidopsis thaliana	Root	Normal	low_S	Col-0	Bphyt	mock	14	1	Kopriva	1	TRUE
S.Bp2_S14	S-Bp2_S14	Arabidopsis thaliana	Root	Normal	low_S	Col-0	Bphyt	mock	14	2	Kopriva	1	TRUE
S.Bp3_S15	S-Bp3_S15	Arabidopsis thaliana	Root	Normal	low_S	Col-0	Bphyt	mock	14	3	Kopriva	1	TRUE
S.c1_S10	S-c1_S10	Arabidopsis thaliana	Root	Normal	low_S	Col-0	axenic	mock	14	1	Kopriva	1	TRUE
S.c2_S11	S-c2_S11	Arabidopsis thaliana	Root	Normal	low_S	Col-0	axenic	mock	14	2	Kopriva	1	TRUE
S.c3_S12	S-c3_S12	Arabidopsis thaliana	Root	Normal	low_S	Col-0	axenic	mock	14	3	Kopriva	1	TRUE
2845_D	243-08-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	mock	12	1	R129_E-flg22	1	TRUE
2845_G	243-14-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	mock	12	2	R129_E-flg22	1	TRUE
2845_K	243-19-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	mock	12	3	R129_E-flg22	1	TRUE
4143_K	252-19-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	mock	12	5	R129_E-flg22	2	TRUE
4143_C	252-11-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	mock	12	6	R129_E-flg22	2	TRUE
2845_A	243-03-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	flg22	12	1	R129_E-flg22	1	TRUE
2845_H	243-14-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	flg22	12	2	R129_E-flg22	1	TRUE
2845_L	243-19-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	flg22	12	3	R129_E-flg22	1	TRUE
4143_F	252-14-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	flg22	12	4	R129_E-flg22	2	TRUE
4143_L	252-19-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	flg22	12	5	R129_E-flg22	2	TRUE
4143_D	252-11-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	flg22	12	6	R129_E-flg22	2	TRUE
2845_E	243-12-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	mock	12	1	R129_E-flg22	1	TRUE
2845_I	243-15-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	mock	12	2	R129_E-flg22	1	TRUE
2845_B	243-06-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	mock	12	3	R129_E-flg22	1	FALSE
4143_G	252-15-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	mock	12	4	R129_E-flg22	2	TRUE
4143_I	252-18-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	mock	12	5	R129_E-flg22	2	TRUE
4143_A	252-09-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	mock	12	6	R129_E-flg22	2	TRUE
2845_F	243-13-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	flg22	12	1	R129_E-flg22	1	TRUE
2845_J	243-15-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	flg22	12	2	R129_E-flg22	1	TRUE
2845_C	243-07-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	flg22	12	3	R129_E-flg22	1	TRUE
4143_H	252-15-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	flg22	12	4	R129_E-flg22	2	TRUE
4143_J	252-18-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	flg22	12	5	R129_E-flg22	2	TRUE
4143_B	252-10-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	flg22	12	6	R129_E-flg22	2	TRUE
1106_A	P_MgCl_d4_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	12	1	R129_E-time	1	TRUE
1106_B	P_MgCl_d4_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	12	2	R129_E-time	1	TRUE
1106_C	P_MgCl_d4_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	12	3	R129_E-time	1	TRUE
1106_D	noP_MgCl_d4_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	12	1	R129_E-time	1	TRUE
1106_E	noP_MgCl_d4_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	12	2	R129_E-time	1	TRUE
1106_F	noP_MgCl_d4_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	12	3	R129_E-time	1	TRUE
1106_G	P_350_d4_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	12	1	R129_E-time	1	TRUE
1106_H	P_350_d4_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	12	2	R129_E-time	1	TRUE
1106_I	P_350_d4_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	12	3	R129_E-time	1	TRUE
1106_J	noP_350_d4_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	12	1	R129_E-time	1	TRUE
1106_K	noP_350_d4_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	12	2	R129_E-time	1	TRUE
1106_L	noP_350_d4_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	12	3	R129_E-time	1	TRUE
1106_M	P_MgCl_d8_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	16	1	R129_E-time	1	TRUE
1106_N	P_MgCl_d8_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	16	2	R129_E-time	1	TRUE
1106_O	P_MgCl_d8_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	16	3	R129_E-time	1	TRUE
1106_P	noP_MgCl_d8_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	16	1	R129_E-time	1	TRUE
1106_Q	noP_MgCl_d8_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	16	2	R129_E-time	1	TRUE
1106_R	noP_MgCl_d8_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	16	3	R129_E-time	1	TRUE
1106_S	P_350_d8_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	16	1	R129_E-time	1	TRUE
1106_T	P_350_d8_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	16	2	R129_E-time	1	TRUE
1106_U	P_350_d8_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	16	3	R129_E-time	1	TRUE
1106_V	noP_350_d8_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	16	1	R129_E-time	1	TRUE
1106_W	noP_350_d8_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	16	2	R129_E-time	1	TRUE
1106_X	noP_350_d8_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	16	3	R129_E-time	1	TRUE
1106_Y	P_MgCl_d12_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	4	1	R129_E-time	1	TRUE
1106_Z	P_MgCl_d12_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	4	2	R129_E-time	1	TRUE
1106_AA	P_MgCl_d12_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	4	3	R129_E-time	1	TRUE
1106_AB	noP_MgCl_d12_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	4	1	R129_E-time	1	TRUE
1106_AC	noP_MgCl_d12_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	4	2	R129_E-time	1	TRUE
